customer_id,country,first_purchase,last_purchase,n_orders,total_spent,avg_basket,recency_days,tenure_days
17076,United Kingdom,2010-03-11 13:19:00,2011-03-11 08:59:00,2.0,33.75,16.875,273.0,637.0
28709,United Kingdom,2009-10-24 12:20:00,2011-06-01 12:20:00,10.15,809.05,67.13,191.77,585.44
62588,United Kingdom,2011-05-09 12:20:00,2011-10-11 12:20:00,2.29,140.22,83.38,59.7,155.06
43443,Switzerland,2009-09-08 12:20:00,2011-08-05 12:20:00,3.43,117.0,38.08,126.59,696.28
59368,United Kingdom,2009-02-17 12:20:00,2010-11-05 12:20:00,5.35,37.04,6.76,399.39,626.65
18334,United Kingdom,2011-03-27 12:20:00,2011-11-26 12:20:00,6.26,640.62,98.35,13.53,244.31
13265,United Kingdom,2011-10-17 15:02:00,2011-10-17 15:02:00,1.0,82.5,82.5,52.0,52.0
36391,United Kingdom,2010-06-11 12:20:00,2011-03-23 12:20:00,1.01,11.38,10.59,261.45,285.39
48099,United Kingdom,2010-05-07 12:20:00,2011-05-14 12:20:00,3.4,48.48,17.05,209.72,372.58
50655,United Kingdom,2010-08-10 12:20:00,2011-10-13 12:20:00,1.76,42.01,18.1,57.1,429.92
33746,United Kingdom,2010-05-03 12:20:00,2011-10-29 12:20:00,3.67,196.1,52.46,41.54,544.96
28711,United Kingdom,2009-11-02 12:20:00,2011-07-17 12:20:00,6.47,867.88,161.77,145.62,622.38
56126,Sweden,2009-11-28 12:20:00,2011-11-11 12:20:00,1.91,47.24,23.66,28.65,713.5
60176,United Kingdom,2010-10-25 12:20:00,2011-10-31 12:20:00,1.85,108.54,57.24,39.31,371.56
32061,United Kingdom,2007-07-13 12:20:00,2009-10-04 12:20:00,0.97,53.34,48.99,796.89,814.23
61934,United Kingdom,2010-03-21 12:20:00,2011-11-24 12:20:00,7.83,115.7,14.18,15.36,613.2
40245,United Kingdom,2009-09-27 12:20:00,2011-10-08 12:20:00,5.13,80.16,14.83,62.53,741.25
57747,United Kingdom,2010-08-10 12:20:00,2011-10-03 12:20:00,2.79,197.9,66.61,67.56,419.72
60964,United Kingdom,2010-06-08 12:20:00,2011-06-20 12:20:00,2.09,24.26,15.54,172.83,377.38
15468,United Kingdom,2010-11-12 09:39:00,2010-11-12 09:39:00,1.0,98.0,98.0,392.0,392.0
21712,United Kingdom,2009-06-15 12:20:00,2011-09-18 12:20:00,13.01,5430.04,319.6,82.26,825.67
28521,United Kingdom,2009-06-20 12:20:00,2011-09-05 12:20:00,6.43,718.81,86.87,95.31,807.11
43882,United Kingdom,2007-09-23 12:20:00,2009-11-21 12:20:00,1.13,92.99,91.01,748.9,790.12
49498,United Kingdom,2009-06-27 12:20:00,2011-07-16 12:20:00,4.25,519.26,149.59,146.62,749.34
56093,Spain,2011-05-18 12:20:00,2011-10-27 12:20:00,2.1,59.67,29.17,43.31,162.52
50245,United Kingdom,2009-10-17 12:20:00,2011-10-10 12:20:00,5.97,1059.61,188.87,60.17,723.19
61666,United Kingdom,2008-10-08 12:20:00,2010-05-26 12:20:00,3.01,1145.55,352.27,562.86,595.79
19075,Iceland,2010-11-04 12:20:00,2011-12-09 12:20:00,8.22,1124.97,136.28,0.95,400.82
19429,France,2009-10-22 12:20:00,2011-12-06 12:20:00,34.26,1278.9,39.34,3.26,775.52
61505,United Kingdom,2009-05-27 12:20:00,2010-10-11 12:20:00,2.04,580.7,362.18,424.52,502.04
14600,United Kingdom,2011-02-07 09:48:00,2011-02-07 09:48:00,1.0,34.7,34.7,305.0,305.0
41020,United Kingdom,2010-03-09 12:20:00,2011-11-07 12:20:00,8.99,290.11,39.66,32.98,608.09
17172,United Kingdom,2009-12-13 11:46:00,2011-09-22 09:36:00,3.0,64.44,21.48,78.0,726.0
50728,United Kingdom,2009-11-04 12:20:00,2011-11-07 12:20:00,1.84,67.19,35.77,32.94,733.5
38487,Portugal,2009-11-02 12:20:00,2010-12-08 12:20:00,0.93,41.87,37.14,366.56,401.64
29169,United Kingdom,2009-08-06 12:20:00,2011-08-07 12:20:00,14.81,507.08,41.43,124.16,731.67
43042,United Kingdom,2009-07-04 12:20:00,2011-04-09 12:20:00,6.73,83.67,13.5,244.9,644.92
39210,United Kingdom,2009-02-15 12:20:00,2011-03-07 12:20:00,3.43,246.16,51.52,277.16,750.87
49979,Belgium,2010-04-05 12:20:00,2011-10-23 12:20:00,3.5,480.57,96.99,47.92,566.04
52770,United Kingdom,2008-04-06 12:20:00,2010-03-15 12:20:00,2.92,69.79,23.97,634.07,708.99
48981,United Kingdom,2011-04-14 12:20:00,2011-08-19 12:20:00,0.99,39.2,36.49,112.03,127.72
41517,United Kingdom,2010-05-03 12:20:00,2011-03-21 12:20:00,2.02,67.23,30.88,263.02,322.8
41244,United Kingdom,2010-03-18 12:20:00,2011-10-06 12:20:00,9.3,290.61,30.94,64.84,567.12
21124,United Kingdom,2010-03-11 12:20:00,2011-12-08 12:20:00,26.92,2623.29,97.16,1.04,637.38
37721,United Kingdom,2010-09-23 12:20:00,2011-12-07 12:20:00,3.92,82.16,20.27,2.01,440.23
46512,United Kingdom,2009-07-19 12:20:00,2011-04-09 12:20:00,2.72,273.22,100.65,244.85,629.49
48999,United Kingdom,2011-03-28 12:20:00,2011-08-07 12:20:00,1.03,32.73,31.2,124.74,132.01
50631,United Kingdom,2010-09-14 12:20:00,2011-09-16 12:20:00,2.1,40.55,20.4,84.15,367.33
60357,United Kingdom,2009-07-22 12:20:00,2011-09-22 12:20:00,3.32,57.06,21.27,78.95,792.46
52242,United Kingdom,2009-07-31 12:20:00,2011-06-02 12:20:00,9.01,269.55,24.45,190.6,671.0
38111,United Kingdom,2009-09-03 12:20:00,2010-11-01 12:20:00,1.08,56.28,55.94,403.85,424.38
57675,United Kingdom,2010-03-21 12:20:00,2011-11-10 12:20:00,2.21,201.01,96.81,29.68,599.59
20576,United Kingdom,2010-01-23 12:20:00,2011-11-25 12:20:00,17.17,2009.71,116.07,14.56,671.04
47146,United Kingdom,2011-09-07 12:20:00,2011-12-07 12:20:00,2.15,44.66,22.52,2.71,91.75
43102,United Kingdom,2010-04-29 12:20:00,2011-09-08 12:20:00,4.24,119.17,27.31,92.94,497.99
35460,United Kingdom,2009-04-21 12:20:00,2010-12-03 12:20:00,2.62,131.36,52.1,371.89,591.67
56560,United Kingdom,2009-02-10 12:20:00,2010-11-17 12:20:00,7.94,445.52,66.16,387.56,645.82
49862,United Kingdom,2009-09-08 12:20:00,2011-04-03 12:20:00,3.6,1036.38,193.42,250.48,572.02
22847,United Kingdom,2009-10-14 12:20:00,2011-10-19 12:20:00,13.57,817.12,59.19,51.26,735.69
20162,United Kingdom,2009-11-10 12:20:00,2011-11-16 12:20:00,11.34,924.21,80.99,23.56,736.56
29043,United Kingdom,2009-12-01 12:20:00,2011-08-25 12:20:00,7.72,1356.41,152.96,106.84,632.78
44580,United Kingdom,2010-01-06 12:20:00,2011-10-04 12:20:00,2.02,93.74,61.03,66.86,636.35
15714,United Kingdom,2010-06-08 08:37:00,2011-11-28 11:26:00,4.0,90.38,22.595,11.0,549.0
51684,United Kingdom,2011-02-15 12:20:00,2011-11-19 12:20:00,2.87,128.56,37.14,20.25,277.4
43067,United Kingdom,2009-10-30 12:20:00,2011-07-11 12:20:00,2.95,115.88,36.08,151.88,619.99
61336,United Kingdom,2009-05-16 12:20:00,2010-12-31 12:20:00,1.98,169.58,79.72,343.01,594.01
49841,United Kingdom,2009-09-17 12:20:00,2011-08-25 12:20:00,5.54,426.98,88.41,106.86,707.14
19686,United Kingdom,2009-09-24 12:20:00,2011-11-11 12:20:00,7.54,468.3,59.21,28.57,778.03
18987,Iceland,2010-10-31 12:20:00,2011-12-09 12:20:00,7.42,1051.26,126.2,0.94,404.37
17335,United Kingdom,2010-11-21 10:17:00,2010-11-21 10:17:00,1.0,27.38,27.38,383.0,383.0
35244,United Kingdom,2010-01-03 12:20:00,2011-01-24 12:20:00,2.8,156.76,43.47,319.65,386.84
54605,United Kingdom,2009-04-29 12:20:00,2010-11-22 12:20:00,2.22,81.76,42.57,382.0,572.41
19674,United Kingdom,2010-02-17 12:20:00,2011-11-24 12:20:00,11.1,869.22,78.32,15.93,645.66
17092,United Kingdom,2010-02-02 16:42:00,2011-10-20 19:51:00,8.0,712.55,89.06875000000001,49.0,674.0
48536,United Kingdom,2008-01-23 12:20:00,2010-01-07 12:20:00,1.8,108.05,48.13,701.75,715.31
52692,United Kingdom,2008-12-01 12:20:00,2010-08-12 12:20:00,2.18,61.98,33.4,484.05,619.2
19659,United Kingdom,2009-09-10 12:20:00,2011-12-02 12:20:00,17.28,939.3,53.77,7.94,813.9
50217,United Kingdom,2010-02-22 12:20:00,2011-10-18 12:20:00,6.54,441.61,93.98,52.86,603.49
56418,United Kingdom,2009-03-21 12:20:00,2011-01-31 12:20:00,12.74,2083.09,165.33,312.1,681.71
61909,United Kingdom,2011-04-24 12:20:00,2011-12-02 12:20:00,8.27,160.3,14.12,7.95,222.56
28273,United Kingdom,2009-07-07 12:20:00,2011-04-07 12:20:00,7.71,1034.02,146.88,246.72,639.26
43534,United Kingdom,2010-02-06 12:20:00,2011-04-14 12:20:00,3.41,88.24,25.04,239.66,432.2
22335,United Kingdom,2009-08-25 12:20:00,2011-10-19 12:20:00,12.9,579.83,48.24,51.85,785.33
19462,United Kingdom,2009-10-12 12:20:00,2011-12-06 12:20:00,10.21,612.07,52.19,3.0,785.09
59530,United Kingdom,2008-07-29 12:20:00,2010-09-15 12:20:00,5.01,252.07,46.28,450.07,778.63
28684,United Kingdom,2009-06-17 12:20:00,2011-03-26 12:20:00,8.43,470.05,70.86,258.5,647.99
58749,United Kingdom,2010-09-26 12:20:00,2011-11-17 12:20:00,1.8,212.36,140.64,22.54,417.81
19476,United Kingdom,2010-06-27 12:20:00,2011-12-04 12:20:00,7.95,748.63,102.7,5.35,525.4
21347,Germany,2010-02-28 12:20:00,2011-11-19 12:20:00,7.55,3537.25,476.31,20.48,629.32
19459,United Kingdom,2010-02-28 12:20:00,2011-11-30 12:20:00,37.18,1308.31,35.62,9.64,640.64
35321,United Kingdom,2008-11-13 12:20:00,2010-10-10 12:20:00,2.2,64.99,38.59,425.84,696.54
15794,United Kingdom,2009-12-02 15:10:00,2009-12-02 15:10:00,1.0,73.2,73.2,736.0,736.0
56047,United Kingdom,2010-11-12 12:20:00,2011-12-01 12:20:00,1.86,50.79,26.45,8.75,384.0
19265,United Kingdom,2009-11-19 12:20:00,2011-11-12 12:20:00,19.46,525.71,20.93,27.16,723.79
28829,United Kingdom,2009-05-03 12:20:00,2011-02-04 12:20:00,26.78,4652.81,154.81,308.47,642.29
43003,United Kingdom,2010-04-08 12:20:00,2011-09-01 12:20:00,3.96,103.63,28.84,99.64,511.2
52917,United Kingdom,2008-08-22 12:20:00,2010-07-04 12:20:00,2.19,66.11,30.16,523.89,681.9
12714,France,2009-12-04 10:00:00,2011-11-30 15:43:00,11.0,1549.65,140.87727272727273,8.0,735.0
44302,United Kingdom,2010-07-27 12:20:00,2011-10-06 12:20:00,3.42,141.39,43.89,64.51,436.57
27515,United Kingdom,2009-02-25 12:20:00,2011-06-02 12:20:00,5.46,276.04,46.33,190.31,827.65
35298,United Kingdom,2009-06-22 12:20:00,2011-02-04 12:20:00,1.99,132.13,63.7,308.76,592.6
35521,United Kingdom,2009-09-02 12:20:00,2011-02-19 12:20:00,1.77,106.8,58.09,293.01,535.65
22181,United Kingdom,2010-06-20 12:20:00,2011-09-04 12:20:00,8.34,695.68,83.94,96.41,441.84
29267,United Kingdom,2009-07-17 12:20:00,2010-10-24 12:20:00,1.02,28.88,23.42,411.87,464.44
15727,United Kingdom,2010-01-24 12:12:00,2011-08-24 14:54:00,10.0,727.69,72.76899999999999,106.0,684.0
63378,United Kingdom,2009-04-03 12:20:00,2011-01-01 12:20:00,7.41,136.39,18.15,342.43,638.12
35463,United Kingdom,2008-07-28 12:20:00,2010-11-05 12:20:00,2.16,122.4,62.33,399.82,830.98
59806,United Kingdom,2010-10-29 12:20:00,2011-10-20 12:20:00,2.14,28.12,14.03,50.92,356.2
36979,United Kingdom,2010-08-13 12:20:00,2011-04-21 12:20:00,1.78,74.72,37.07,232.66,251.65
58941,United Kingdom,2009-02-27 12:20:00,2010-10-11 12:20:00,3.13,659.32,239.69,424.15,591.72
23055,United Kingdom,2010-04-30 12:20:00,2011-10-17 12:20:00,9.58,364.75,40.52,53.19,535.21
56723,United Kingdom,2008-10-24 12:20:00,2010-11-01 12:20:00,6.04,463.62,81.58,403.7,738.56
51333,United Kingdom,2011-09-11 12:20:00,2011-11-18 12:20:00,1.92,74.05,40.72,21.06,68.81
59334,United Kingdom,2009-01-17 12:20:00,2010-09-08 12:20:00,2.58,56.01,19.74,457.67,599.48
34375,United Kingdom,2010-01-27 12:20:00,2011-12-09 12:20:00,3.46,227.85,64.53,0.95,681.66
37823,United Kingdom,2011-08-16 12:20:00,2011-11-16 12:20:00,2.99,97.47,27.11,23.99,92.49
48297,United Kingdom,2011-03-17 12:20:00,2011-09-01 12:20:00,2.12,43.59,21.56,99.19,168.8
51978,United Kingdom,2009-05-17 12:20:00,2011-01-20 12:20:00,4.75,123.28,19.85,323.41,613.46
21195,United Kingdom,2009-11-18 12:20:00,2011-11-16 12:20:00,14.1,731.57,61.2,23.42,728.49
60080,United Kingdom,2010-04-29 12:20:00,2011-12-06 12:20:00,2.26,23.72,13.46,3.27,586.83
57276,United Kingdom,2011-06-23 12:20:00,2011-09-17 12:20:00,0.98,36.23,35.79,83.7,86.63
39677,United Kingdom,2009-12-25 12:20:00,2011-01-23 12:20:00,0.93,34.42,33.65,320.85,394.85
57671,United Kingdom,2010-09-11 12:20:00,2011-10-24 12:20:00,1.71,164.11,68.16,46.5,408.05
31994,United Kingdom,2008-06-22 12:20:00,2010-06-06 12:20:00,0.93,36.19,31.36,551.83,714.2
56578,United Kingdom,2008-10-21 12:20:00,2011-01-17 12:20:00,21.73,3436.95,158.8,326.37,818.44
50114,Switzerland,2010-02-22 12:20:00,2011-09-27 12:20:00,4.29,1869.85,508.18,73.98,582.67
17185,United Kingdom,2010-04-20 13:49:00,2010-04-27 12:15:00,3.0,90.55,30.183333333333334,591.0,597.0
44938,Netherlands,2010-04-21 12:20:00,2011-05-13 12:20:00,1.74,31.92,16.78,210.84,387.56
40035,United Kingdom,2009-11-13 12:20:00,2010-11-29 12:20:00,2.08,48.26,22.45,375.56,381.74
37363,United Kingdom,2011-03-25 12:20:00,2011-11-08 12:20:00,3.47,142.62,29.85,31.58,228.83
39844,United Kingdom,2009-02-10 12:20:00,2010-12-04 12:20:00,1.97,53.15,26.13,370.68,662.16
59384,United Kingdom,2009-02-17 12:20:00,2010-11-19 12:20:00,2.7,54.76,14.56,385.7,640.88
50335,United Kingdom,2009-10-04 12:20:00,2011-10-17 12:20:00,6.36,990.86,187.29,53.2,743.52
40137,Sweden,2010-07-11 12:20:00,2011-10-26 12:20:00,3.46,140.18,30.48,44.74,472.75
27612,United Kingdom,2009-11-10 12:20:00,2011-07-30 12:20:00,4.0,191.5,50.37,132.31,627.64
16930,United Kingdom,2011-10-02 14:25:00,2011-11-13 16:13:00,2.0,46.57000000000001,23.285000000000004,25.0,67.0
21323,United Kingdom,2009-07-29 12:20:00,2011-11-17 12:20:00,10.87,826.62,82.58,22.3,841.11
19458,United Kingdom,2009-10-14 12:20:00,2011-11-26 12:20:00,13.04,983.52,75.34,13.56,773.96
36471,United Kingdom,2010-06-26 12:20:00,2011-04-21 12:20:00,2.13,80.62,33.03,232.13,299.92
18254,United Kingdom,2010-05-07 14:37:00,2010-05-07 14:37:00,1.0,105.0,105.0,580.0,580.0
55135,United Kingdom,2009-11-23 12:20:00,2011-12-07 12:20:00,4.66,428.29,101.1,2.89,744.46
54769,Australia,2009-03-04 12:20:00,2010-11-18 12:20:00,1.72,139.37,63.18,386.95,624.29
22948,United Kingdom,2010-04-11 12:20:00,2011-10-20 12:20:00,13.83,648.83,33.22,50.53,557.9
47504,United Kingdom,2011-05-28 12:20:00,2011-10-07 12:20:00,2.11,28.52,16.89,63.48,132.54
40916,United Kingdom,2009-10-09 12:20:00,2011-11-07 12:20:00,6.57,308.12,52.25,32.83,759.67
44585,United Kingdom,2011-06-02 12:20:00,2011-09-28 12:20:00,3.14,111.15,34.52,72.34,118.57
34677,United Kingdom,2010-09-04 12:20:00,2011-12-03 12:20:00,4.04,145.36,38.38,6.2,455.77
14085,United Kingdom,2009-12-08 13:41:00,2011-12-02 14:02:00,21.0,1266.59,60.31380952380952,6.0,730.0
51691,United Kingdom,2011-10-17 12:20:00,2011-11-30 12:20:00,2.82,96.07,28.89,9.01,44.41
51066,Germany,2011-03-17 12:20:00,2011-09-08 12:20:00,2.19,47.82,22.2,92.58,175.97
55470,United Kingdom,2011-10-25 12:20:00,2011-11-17 12:20:00,1.15,21.68,19.09,22.06,23.23
34276,United Kingdom,2009-12-11 12:20:00,2011-12-01 12:20:00,5.75,178.89,27.58,8.45,720.45
28199,France,2009-09-14 12:20:00,2011-09-13 12:20:00,8.24,1108.89,139.07,87.74,729.98
39838,United Kingdom,2009-08-11 12:20:00,2010-11-10 12:20:00,2.03,52.59,23.26,394.63,456.2
20250,United Kingdom,2010-02-15 12:20:00,2011-12-06 12:20:00,88.35,52492.65,643.09,3.06,659.69
22667,United Kingdom,2009-12-18 12:20:00,2011-10-28 12:20:00,15.76,454.61,39.88,42.18,679.12
61836,United Kingdom,2009-12-06 12:20:00,2011-12-09 12:20:00,13.07,112.53,9.8,0.0,733.43
18837,United Kingdom,2009-12-15 12:20:00,2011-12-09 12:20:00,8.72,619.79,66.35,0.0,724.71
20385,United Kingdom,2009-12-28 12:20:00,2011-11-23 12:20:00,7.78,804.82,76.12,16.97,695.21
37312,United Kingdom,2010-02-02 12:20:00,2011-11-20 12:20:00,6.1,116.59,20.31,19.97,656.99
45934,United Kingdom,2009-01-06 12:20:00,2010-08-29 12:20:00,0.97,85.31,80.96,467.52,600.01
49787,United Kingdom,2011-01-09 12:20:00,2011-07-17 12:20:00,3.4,345.57,113.25,145.6,189.8
25743,United Kingdom,2008-07-06 12:20:00,2010-05-14 12:20:00,1.04,15.79,15.17,574.99,677.87
61828,United Kingdom,2011-11-05 12:20:00,2011-12-01 12:20:00,1.75,90.65,42.81,8.53,26.03
42531,United Kingdom,2011-07-25 12:20:00,2011-10-05 12:20:00,0.93,17.93,16.55,65.35,72.33
27785,United Kingdom,2009-11-05 12:20:00,2011-05-02 12:20:00,3.45,245.84,77.73,221.71,543.56
51614,United Kingdom,2011-09-18 12:20:00,2011-12-02 12:20:00,2.89,90.09,26.35,7.48,75.8
18513,United Kingdom,2010-07-27 12:20:00,2011-12-07 12:20:00,6.87,476.16,70.49,2.25,498.35
37563,United Kingdom,2011-02-14 12:20:00,2011-11-28 12:20:00,4.28,90.13,27.75,11.05,287.6
62251,United Kingdom,2009-02-02 12:20:00,2010-10-17 12:20:00,7.67,578.63,71.89,418.33,622.85
13760,United Kingdom,2010-10-31 15:18:00,2011-10-16 16:13:00,3.0,15.6,5.2,53.0,403.0
44021,United Kingdom,2008-06-23 12:20:00,2010-06-16 12:20:00,2.21,78.59,50.62,541.09,723.31
58906,United Kingdom,2008-01-06 12:20:00,2010-03-17 12:20:00,3.71,4244.36,1232.56,632.66,801.4
61658,United Kingdom,2008-11-11 12:20:00,2010-08-26 12:20:00,1.75,621.45,279.16,470.03,653.25
56486,United Kingdom,2008-10-20 12:20:00,2010-11-05 12:20:00,11.96,598.5,60.77,399.71,746.16
29098,United Kingdom,2010-04-07 12:20:00,2011-07-05 12:20:00,9.16,531.68,63.17,157.0,454.89
14704,United Kingdom,2010-03-25 17:21:00,2011-11-20 12:20:00,9.0,95.87,10.652222222222225,19.0,623.0
12530,Germany,2010-03-07 14:37:00,2011-10-11 12:34:00,9.0,631.41,70.15666666666667,58.0,641.0
43084,Germany,2009-10-29 12:20:00,2011-05-15 12:20:00,4.25,130.37,35.29,208.98,563.62
16300,United Kingdom,2010-02-02 11:40:00,2010-10-05 13:14:00,3.0,274.02,91.34,429.0,675.0
57292,United Kingdom,2011-10-02 12:20:00,2011-11-09 12:20:00,0.96,45.05,39.95,30.0,38.92
15249,United Kingdom,2010-03-26 14:51:00,2011-11-08 11:45:00,16.0,887.92,55.495000000000005,31.0,622.0
56779,United Kingdom,2009-02-22 12:20:00,2010-11-21 12:20:00,5.86,494.3,80.8,383.42,637.57
58726,United Kingdom,2011-08-28 12:20:00,2011-12-04 12:20:00,3.09,272.61,80.36,5.01,98.22
60398,United Kingdom,2010-08-10 12:20:00,2011-09-08 12:20:00,2.77,32.7,9.57,92.21,394.84
62232,United Kingdom,2008-07-29 12:20:00,2010-06-30 12:20:00,6.9,11938.48,1985.61,527.05,701.81
50027,United Kingdom,2011-04-27 12:20:00,2011-10-31 12:20:00,3.44,459.01,105.53,39.08,187.0
21263,United Kingdom,2010-01-23 12:20:00,2011-11-22 12:20:00,11.46,745.89,66.06,17.53,668.61
20647,United Kingdom,2009-12-08 12:20:00,2011-12-07 12:20:00,42.74,6858.89,159.79,2.69,729.23
19855,United Kingdom,2010-03-29 12:20:00,2011-12-09 12:20:00,12.89,2439.67,171.59,0.0,620.07
47488,United Kingdom,2011-08-19 12:20:00,2011-10-18 12:20:00,1.14,7.47,6.4,52.0,60.12
26170,Germany,2008-07-17 12:20:00,2010-03-30 12:20:00,1.1,67.48,66.06,619.79,621.23
20367,United Kingdom,2010-04-19 12:20:00,2011-12-02 12:20:00,7.28,969.98,106.51,7.73,592.94
41437,United Kingdom,2011-05-07 12:20:00,2011-10-27 12:20:00,6.74,145.91,27.37,43.22,173.13
51054,United Kingdom,2009-06-29 12:20:00,2011-03-30 12:20:00,2.22,36.7,18.86,254.53,639.09
52925,United Kingdom,2009-01-19 12:20:00,2010-07-19 12:20:00,1.97,58.55,28.53,508.74,546.54
16057,United Kingdom,2010-02-22 11:13:00,2011-11-23 15:23:00,5.0,291.15000000000003,58.23,15.0,655.0
14403,United Kingdom,2011-05-06 16:48:00,2011-05-06 16:48:00,1.0,170.46,170.46,216.0,216.0
22325,United Kingdom,2009-11-21 12:20:00,2011-09-26 12:20:00,37.82,48954.87,1149.51,74.61,674.87
36905,United Kingdom,2009-07-26 12:20:00,2011-03-19 12:20:00,1.74,89.34,41.41,265.77,601.77
29199,United Kingdom,2009-09-11 12:20:00,2011-04-26 12:20:00,6.82,682.17,100.25,227.34,592.48
57518,United Kingdom,2010-10-07 12:20:00,2011-12-01 12:20:00,2.96,50.61,21.85,8.57,420.05
17360,United Kingdom,2010-10-01 12:07:00,2011-11-22 13:11:00,6.0,311.3,51.88333333333333,16.0,434.0
12988,United Kingdom,2011-02-20 14:31:00,2011-02-20 14:31:00,1.0,227.85,227.85,291.0,291.0
19796,United Kingdom,2010-04-03 12:20:00,2011-12-09 12:20:00,12.37,639.64,54.44,0.91,615.64
43086,United Kingdom,2010-06-23 12:20:00,2011-08-10 12:20:00,2.66,144.62,51.73,121.54,413.75
34257,United Kingdom,2010-04-12 12:20:00,2011-11-29 12:20:00,5.75,331.01,65.54,10.08,596.1
19676,Finland,2010-02-20 12:20:00,2011-12-02 12:20:00,11.89,5905.25,538.8,7.85,650.43
26437,United Kingdom,2008-05-13 12:20:00,2010-05-27 12:20:00,0.99,39.16,35.04,561.5,744.51
52362,United Kingdom,2009-07-26 12:20:00,2011-08-22 12:20:00,8.53,333.65,34.94,109.52,757.99
12675,Italy,2010-05-10 16:44:00,2010-05-10 16:44:00,1.0,125.8,125.8,577.0,577.0
